Accountant,30.58,88.96,30.28,85.71,30.51,88.2,101%
"Accountant,Prin",38.75,59.96,37.64,7,38.49,47.6,102.95%
"Accountant,Sr",34.48,60.61,33.89,43.67,34.36,57.1,101.75%
Act Exec,43.1,146,42.02,106.29,42.42,120.73,102.56%
Actg Tech I-BU,22.56,81.8,22.56,35.5,22.56,74.08,100%
Actg Tech II,23.98,112.71,24.35,75,24.03,108,98.49%
Actg Tech II-BU,24.19,103.23,24.21,134.5,24.2,109.35,99.95%
Actg Tech III-BU,26.69,89.97,26.18,51.2,26.63,84.73,101.96%
Admin Spec I,22.35,129.4,21.76,46,22.28,119.59,102.70%
Admin Spec I-BU,22.43,121.04,22.43,91.17,22.43,117.06,100.01%
Admin Spec I-MC,22.56,145,22.56,123,22.56,141.53,100%
Admin Spec II,24.32,126.07,23.9,42.5,24.26,115.63,101.73%
Admin Spec II-BU,24.25,91.78,24.11,76.5,24.24,90.04,100.61%
Admin Spec II-MC,24.35,129.18,24.35,129,24.35,129.17,100%
Admin Spec III,26.1,78,26.26,94.5,26.12,80.36,99.39%
Admin Spec III-BU,25.94,64.9,25.93,53.67,25.94,63.88,100.03%
Admin Staff Anlyst,35.59,76.95,35,49,35.55,75,101.69%
Admin Staff Asst,30.86,65.8,30.48,72,30.82,66.6,101.26%
Admin Support Asst-BU,20.3,84.2,20.61,83,20.36,84,98.52%
Admin Support Supv-BU,27.58,73.5,27.78,141,27.61,84.75,99.28%
Admin Support Supv-MC,27.78,119.25,27.78,158,27.78,127,100%
Adms Employee,17.11,115.4,17.11,102.5,17.11,107.46,100%
Animal Contrl Ofcr I,24.32,55,24.08,55.5,24.13,55.4,101.01%
Animal Contrl Ofcr II,26.53,128.67,26.53,142.17,26.53,137.67,100%
Aquarium Biologist 1,23.88,53,23.88,76,23.88,60.67,100%
Aquarium Biologist 2,26.26,81.2,26.26,71.33,26.26,77.5,100%
Aquatic Cntr Coord,32.52,108.43,32.52,223,32.52,133.89,100%
"Aquatic Cntr Coord,Asst",28.75,93.25,29.17,56,28.93,77.29,98.56%
Arboriculturist,33.09,67,32.9,80.86,32.92,79.13,100.58%
Arts Conserv Tech,27.78,65,27.78,65,27.78,65,100%
"Arts Prgm Spec,Sr",36.37,76.75,36.3,18,36.36,65,100.20%
Auto Mechanic,31.02,138,31.02,108.17,31.02,108.78,100%
Auto Mechanic Aprn,27.27,46,27.27,45,27.27,45.33,100%
"Auto Mechanic,Sr",32.6,28,32.6,90.62,32.6,86.14,100%
Bailiff,25.77,137.29,24.77,25,25.65,123.25,104.04%
Bldg Plans Examiner,36.45,3.5,35.38,20.5,35.74,14.83,103.01%
Bridge Op,27.34,385,27.26,165.83,27.27,182.69,100.29%
"Bridge Op,Sr",28.85,67.5,28.85,126,28.85,96.75,100%
"Buyer,Sr",39.96,51.33,38.86,73,39.33,63.71,102.82%
Capital Prjts Coord,41.56,48.33,41.04,70.44,41.17,64.92,101.26%
Capital Prjts Coord Supv,42.51,0,49.33,3,45.92,1.5,86.17%
Capital Prjts Coord Supv-BU,49.33,15,47.62,13,48.47,14,103.59%
